label,study_and_condition
__label__0,study interventions are Irinotecan . diagnosed with histologicall negative or cytologically confirmed metastatic adenocarcinoma of the colon and or rectum
__label__0,study interventions are Placebo . carcinoma renal cell diagnosis and adequate renal function
__label__1,study interventions are Isophosphamide mustard . low grade myofibroblastic sarcoma diagnosis and patients with body surface area less_than doc two are not eligible
__label__1,study interventions are Vaccines . recurrent grade three follicular lymphoma diagnosis and experience graft failure absolute neutrophil count less_than five hundred mm three
__label__1,study interventions are Ifosfamide . malignant cutaneous granular cell tumor diagnosis and cypthreeafour inducers
__label__0,study interventions are Etoposide . lymphoma diagnosis and life expectancy
__label__0,study interventions are Fludarabine . recurrent adult lymphoblastic lymphoma diagnosis and mds with lower ipss scores int one or less with severe clinical features such as severe neutropenia or thrombocytopenia or high risk chromosome abnormalities such as monosomy seven
__label__0,study interventions are iodine I 125 . lung cancer diagnosis and patient characteristics
__label__1,study interventions are Regorafenib . adenocarcinoma of the rectum diagnosis and known history of human immunodeficiency virus hiv infection or current chronic or active hepatitis or infection requiring treatment with antiviral therapy
__label__1,study interventions are Vitamin B Complex . family member has history of colorectal adenoma of adenocarcinoma diagnosis and lipid_lowering medications with the following exceptions
__label__1,study interventions are Tacrolimus . stage ii grade two non contiguous follicular lymphoma diagnosis and donor
__label__0,study interventions are Pemetrexed . non small cell lung cancer diagnosis and phase one
__label__1,study interventions are Zoledronic acid . uterine cervical neoplasms diagnosis and patients with denovo osteoporosis are also excluded
__label__0,study interventions are Tamoxifen . stage iib breast cancer diagnosis and the patient must have signed and dated an institutional review board irb approved consent form that conforms to federal and institutional guidelines
__label__1,study interventions are Fludarabine phosphate . stage iv grade three follicular lymphoma diagnosis and presence of uncontrolled psychiatric disorder
__label__1,study interventions are Antilymphocyte Serum . blood cancer diagnosis and ejection fraction less_than thirty or uncontrolled cardiac failure
__label__1,study interventions are Trastuzumab . breast cancer diagnosis and prior treatment with hspninety inhibitors
__label__1,"study interventions are Antibodies, Monoclonal . patients with known symptomatic brain metastases requiring steroids"
__label__1,study interventions are Vincristine . childhood burkitt lymphoma diagnosis and patients who in the opinion of the investigator may not be able to comply with the safety monitoring requirements of the study are not eligible
__label__1,study interventions are Immunoglobulins . refractory cell non hodgkin lymphoma diagnosis and circulating human anti mouse antibody hama to be determined before each infusion
__label__0,study interventions are Bevacizumab . stage iv squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and negative pregnancy test
__label__0,study interventions are Bevacizumab . carcinoma diagnosis and transaminases sgot and or sgpt must be less_than threex the institutional upper limit of normal uln
__label__0,study interventions are Etoposide . precancerous condition diagnosis and chronic lymphocytic leukemia in cr or pr two or greater
__label__1,study interventions are Triptorelin Pamoate . prostate adenocarcinoma diagnosis and unstable angina and or congestive heart failure requiring hospitalization within the last six months
__label__0,study interventions are Imatinib Mesylate . unspecified adult solid tumor protocol specific diagnosis and fertile patients must use effective barrier contraception during and for three months after study participation
__label__1,study interventions are Immunoglobulins . tumors metastatic to brain diagnosis and any non oncology vaccine therapy used for prevention of infectious diseases for up to one month before or after any dose of ipilimumab
__label__1,study interventions are Capecitabine . rectal cancer diagnosis and prior severe infusion reaction to monoclonal antibody
__label__1,study interventions are Vaccines . lung cancer diagnosis and pregnancy or breast feeding
__label__0,study interventions are Melphalan . multiple myeloma and plasma cell neoplasm diagnosis and no new york heart association class iii congestive heart failure
__label__1,study interventions are Carboplatin . stage iii follicular thyroid cancer diagnosis and concurrent use of systemic corticosteroids
__label__0,study interventions are Prednisolone . recurrent adult grade iii lymphomatoid granulomatosis diagnosis and patients treated previously with radiation therapy in excess of one thousand cgy rads to any thoracic or abdominal port or in excess of three thousand cgy rads to cranial spinal ports who are not eligible for other protocols are eligible for this study
__label__0,study interventions are Hormones . stage iv prostate cancer diagnosis and received greater_than three prior courses of paclitaxe negative or docetaxel based therapy with disease progression documented during therapy or after cessation of therapy
__label__0,study interventions are Fluorouracil . mucinous adenocarcinoma of the rectum diagnosis and platelet count greater_than equal_than one hundred zero ul
__label__1,study interventions are Bortezomib . multiple myeloma diagnosis and pregnancy testing was not required for post menopausal or surgically sterilized women
__label__0,study interventions are Bevacizumab . stage iv major salivary gland carcinoma diagnosis and patients should not have prior history of serious human anti human antibody haha reaction patients with known hypersensitivity to chinese_hamster ovary cell products or other recombinant human antibodies are not eligible
__label__0,study interventions are Etoposide . sarcoma diagnosis and patient characteristics
__label__1,study interventions are BB 1101 . ovarian cancer diagnosis and prior carboplatin or cisplatin hypersensitivity reaction
__label__0,study interventions are Thalidomide . peripheral cell lymphoma diagnosis and fourteen days and again within twenty-four hours prior to prescribing lenalidomide for cycle one prescriptions must be filled within seven days and must either commit to continued abstinence from heterosexual intercourse or begin two acceptable methods of birth control one highly effective method and one additional effective method at the same time at least twenty-eight days before she starts taking lenalidomide fcbp must also agree to ongoing pregnancy testing men must agree to use latex condom during sexual contact with fcbp even if they have had successful vasectomy
__label__0,study interventions are Bevacizumab . breast cancer diagnosis and who performance status zero one
__label__1,study interventions are Paclitaxel . non squamous non small cell lung cancer diagnosis and squamous cell small cell or mixed histology
__label__1,study interventions are Aldesleukin . stage iiib skin melanoma diagnosis and clinically significant psychiatric disease which in the opinion of the pi or sub investigator would render immunotherapy and its potential sequelae unsafe or compliance with procedural requirements unlikely
__label__1,study interventions are Tacrolimus . recurrent grade one follicular lymphoma diagnosis and seropositive for human immunodeficiency virus hiv
__label__1,study interventions are Melphalan . lymphoma diagnosis and patients with active hepatitis either active carrier hbsag positive or viremic hbv dna greater_than equal_than ten zero copies ml or greater_than equal_than two zero iu ml
__label__1,study interventions are Cyclophosphamide . contiguous stage ii mantle cell lymphoma diagnosis and known hiv positive status
__label__0,study interventions are Metronidazole . salivary gland adenocarcinoma diagnosis and scleroderma
__label__1,study interventions are Vaccines . bone sarcoma diagnosis and any serious or uncontrolled medical or psychiatric condition that in the opinion of the investigator makes the patient not able to participate in the study
__label__0,study interventions are Interferons . histologically confirmed metastatic melanoma
__label__1,study interventions are Immunoglobulins . stage iii squamous cell carcinoma of the lip and oral cavity diagnosis and major active psychiatric disorders which would limit compliance
__label__1,study interventions are Vitamins . prostate cancer diagnosis and history of sarcoidosis
__label__1,study interventions are TMX-101 . non muscle invasive bladder cancer diagnosis and hemoglobin less_than doc dl
__label__0,"study interventions are Antibodies, Monoclonal . endometrial transitional cell carcinoma diagnosis and total bilirubin equal_than less_than doc mg dl or direct bilirubin equal_than less_than doc mg dl"
__label__0,study interventions are Rituximab . lymphoma diagnosis and transaminases less than two times normal
__label__0,study interventions are Capecitabine . gastric cancer diagnosis and bone marrow
__label__1,study interventions are Cyclosporine . anaplastic large cell lymphoma diagnosis and donor
__label__1,study interventions are Rituximab . non hodgkin lymphoma diagnosis and pregnancy testing is not required for post menopausal or surgically sterilized women
__label__0,study interventions are Sirolimus . pancreatic neuroendocrine cancer diagnosis and planned initiation of active therapy with everolimus sunitinib or traditional cytotoxic chemotherapy
__label__1,study interventions are stereotactic body radiation therapy . primary tumor of any stage within or touching the zone of the proximal bronchial tree note
__label__1,study interventions are Trametinib . stage iiic rectal cancer diagnosis and history or current evidence risk of retinal vein occlusion rvo or central serous retinopathy_csr
__label__0,study interventions are Alovudine . stage iv breast cancer diagnosis and no prior therapy with veliparib for metastatic disease will be allowed
__label__1,study interventions are Docetaxel . stage iv bladder cancer diagnosis and potassium less than institutional normal level despite supplementation serum calcium ionized or adjusted for albumin or magnesium below lower limits of normal despite supplementation
__label__0,study interventions are Estradiol . stage iv lung cancer diagnosis and patients without an egfr mutation must have received one or two lines of chemotherapy beforehand
__label__1,study interventions are Paclitaxel . urinary bladder neoplasms diagnosis and liver metastases with serum albumin less_than three dl
__label__1,study interventions are Letrozole . endometrial cancer diagnosis and history of cerebral vascular accident transient ischemic attack or subarachnoid hemorrhage within the past three months
__label__0,study interventions are Antibodies . stage iii verrucous carcinoma of the oral cavity diagnosis and coronary peripheral artery bypass graft or stenting within the past twelve months
__label__1,study interventions are Cetuximab . metastatic colorectal cancer diagnosis and diagnosis or suspicion of brain or leptomeningeal metastases
__label__0,study interventions are Epothilones . breast cancer diagnosis and aspartate aminotransferase ast less_than doc uln
__label__1,study interventions are Cyclophosphamide . stage iib breast cancer diagnosis and active cardiac disease
__label__0,study interventions are Oxaliplatin . carcinoma non small cell lung diagnosis and adequate kidney function serum creatinine less_than doc upper limit of normal uln
__label__0,study interventions are Sunitinib . stage iv verrucous carcinoma of the oral cavity diagnosis and ast and alt less_than doc times uln
__label__1,study interventions are Sirolimus . malabsorption syndrome disease significantly affecting gastrointestinal function or resection of the stomach or small bowel
__label__1,study interventions are Clofarabine . lymphoblastic lymphoma diagnosis and patients who receive other chemotherapy
__label__1,study interventions are Treosulfan . asymptomatic metastatic lesions whose further growth would likely cause functional deficits or intractable pain should be considered for loco regional therapy prior to enrolment
__label__0,study interventions are Cisplatin . head and neck cancer diagnosis and radiotherapy
__label__1,study interventions are Trastuzumab . breast cancer diagnosis and patients with new york heart association class ii or greater congestive heart failure
__label__0,study interventions are Everolimus . refractory or relapsed osteosarcoma diagnosis and neutrophil count greater_than doc zero mm³ platelets greater_than ten doc zero mm³ and hemoglobin greater_than doc mg dl
__label__1,study interventions are Cetuximab . stage ivc laryngeal squamous cell carcinoma diagnosis and use of strong inhibitors inducers of cypthreeafour is not permitted
__label__0,study interventions are Everolimus . breast cancer diagnosis and ecog performance status zero
__label__1,study interventions are Epirubicin . breast neoplasms diagnosis and concomitant treatment with corticosteroids used for reasons other than premedication however patients receiving chronic treatment with corticosteroids greater_than six months at low dose less_than twenty mg of methylprednisolone or equivalent dose of other corticosteroids for whichever reason are eligible
__label__1,study interventions are Mifepristone . stage iiic breast cancer diagnosis and patients must have one week washout period from prior hormonal therapy testosterone estrogen progestin gonadotropin releasing hormone antagonist
__label__1,study interventions are Lenalidomide . stage iii grade one follicular lymphoma diagnosis and inability to comply with study or follow up testing and procedures
__label__0,"study interventions are Antibodies, Monoclonal . non hodgkin lymphoma diagnosis and patients must have karnofsky performance status of at least sixty and an anticipated survival of at least three months"
__label__1,study interventions are Pemetrexed . lung cancer non small cell diagnosis and clinically significant gastrointestinal abnormalities which might interfere with oral dosing including but not limited to
__label__0,study interventions are Lenograstim . recurrent neuroblastoma diagnosis and no concurrent hydroxyurea
__label__1,study interventions are Doxorubicin . recurrent primary peritoneal carcinoma diagnosis and patients who require parental hydration and or nutrition
__label__1,study interventions are Pazopanib . ovarian cancer diagnosis and corrected qt interval qtc greater_than four hundred and eighty msecs using bazett formula
__label__1,study interventions are Sorafenib . lymphomas diagnosis and previous mediastinal radiotherapy
__label__0,study interventions are Epigallocatechin gallate . unspecified adult solid tumor protocol specific diagnosis and cardiovascular
__label__0,study interventions are Silicon . non melanomatous skin cancer diagnosis and no concurrent chemotherapy
__label__0,study interventions are Albumin-Bound Paclitaxel . metastatic transitional cell cancer of the renal pelvis and ureter diagnosis and granulocyte count greater_than equal_than one five hundred mm three
__label__0,study interventions are monosialotetrahexosylganglioside Sodium . colorectal cancer diagnosis and should have target lesions or non target lesions
__label__1,study interventions are Erlotinib Hydrochloride . pancreatic adenocarcinoma diagnosis and chronic diarrhea
__label__0,study interventions are Docetaxel . first line treatment for patients with non resectable gastric cancer or cancer of the esophagus or diagnosis and neutrophils greater_than one five one09 and platelets greater_than one00 one09 l
__label__1,study interventions are Cyclophosphamide . malignant neoplasm of female breast diagnosis and women of childbearing potential with either positive or no pregnancy test at baseline
__label__0,study interventions are R-Blocks . lymphoma non hodgkin diagnosis and up to eighteen years of age
__label__1,study interventions are Paclitaxel . stage iv squamous cell carcinoma of the nasopharynx diagnosis and prior therapy with herceptin
__label__0,study interventions are Cyclophosphamide . malignant rhabdoid tumor diagnosis and at least three half lives must have elapsed since prior therapy that included monoclonal antibody see appendix i
__label__0,study interventions are Email Coaching . ovarian cancer diagnosis and less than two days of fifteen minutes or more of resistance training per week
__label__1,study interventions are X-Suit NIR Covered Biliary Stent . biliary tract cancer diagnosis and presence of any esophageal or duodenal stent
__label__1,study interventions are Methotrexate . stage iv childhood anaplastic large cell lymphoma diagnosis and lactating females are not eligible unless they have agreed not to breastfeed their infants
__label__0,study interventions are pharmacological study . stage iii mucoepidermoid carcinoma of the oral cavity diagnosis and platelet count greater_than equal_than one hundred zero mm three
__label__1,study interventions are Bupivacaine . rectum cancer diagnosis and subjects with inflammatory bowel disease active colitis or pre existing intra abdominal inflammation
__label__1,study interventions are Sirolimus . mantle cell lymphoma refractory diagnosis and left ventricular ejection fraction less_than forty-five calculated by echocardiographic or scintigraphic method
__label__0,study interventions are Cisplatin . head cancer diagnosis and no more than six seven weeks minimum of three weeks should have elapsed between surgery and initiation of radiation
__label__0,study interventions are Visual Examination . head and neck cancer diagnosis and written informed consent
__label__0,study interventions are Interferons . unspecified childhood solid tumor protocol specific diagnosis and age
__label__1,study interventions are Leuprolide . prostate cancer diagnosis and serious hypertension not controlled by appropriate treatment
__label__1,study interventions are BB 1101 . multiple myeloma diagnosis and active hepatitis or infection
__label__0,study interventions are Leuprolide . prostate cancer diagnosis and surgery
__label__0,study interventions are Leucovorin . stage iia rectal cancer diagnosis and group ii
__label__0,study interventions are Fluorouracil . stage iiic colon cancer diagnosis and patients who are known to have lynch syndrome and have been found to carry specific mutation in an mmr gene mlhone_mshtwo mshsix pmstwo are eligible to participate
__label__0,study interventions are Vatalanib . uncontrolled intercurrent illness including not limited to ongoing uncontrolled infection symptomatic congestive heart failure unstable angina pectoris cardiac arrhythmia uncontrolled high blood pressure history of labile hypertension history of poor compliance with an antihypertensive regimen myocardial infarction less than or equal to six months prior to registration uncontrolled diabetes interstitial pneumonia or extensive and symptomatic interstitial fibrosis of lung chronic liver disease or psychiatric illness social situations that limits compliance with study requirements
__label__0,study interventions are Dexamethasone . refractory multiple myeloma diagnosis and total bilirubin less_than two mg dl
__label__1,study interventions are Bevacizumab . glioblastoma diagnosis and pregnant lactating
__label__0,study interventions are Ferrosoferric Oxide . breast cancer diagnosis and surgery
__label__1,study interventions are Methylprednisolone Hemisuccinate . concurrent use of other anti cancer agents or treatments
__label__1,study interventions are Bevacizumab . lung cancer diagnosis and use of anti coagulant agents including warfarin heparin aspirin nsaids
__label__1,study interventions are Carboplatin . stage iv esophageal cancer diagnosis and prior therapy with herceptin
__label__0,study interventions are Capecitabine . metastatic colorectal cancer diagnosis and performance status greater_than equal_than two
__label__0,study interventions are Albumin-Bound Paclitaxel . advanced cancers diagnosis and negative serum pregnancy test in women of childbearing potential within seven days of first dose of treatment and patients of child bearing potential must agree to use effective contraception during after three months post dose
__label__0,study interventions are Leucovorin . stage iv colon cancer diagnosis and platelet count at least one hundred zero mm three
__label__0,study interventions are Food Intake Modification . carcinoma non small cell lung diagnosis and ability to give written informed consent
__label__0,study interventions are Reverse Transcriptase Inhibitors . kaposi sarcoma diagnosis and condoms male or female iud or hormone based therapy contraceptive pills norplant or depo_provera
__label__0,study interventions are Everolimus . stage iiib endometrial carcinoma diagnosis and fasting triglycerides equal_than less_than doc six mmol l
__label__0,study interventions are Carboplatin . recurrent bladder cancer diagnosis and neutrophilsgreater_than doc one hundred and nine l
__label__1,study interventions are Vincristine . stage adult lymphoblastic lymphoma diagnosis and use of any other experimental drug or therapy within fourteen days of baseline
__label__0,"study interventions are Antibodies, Monoclonal . neoplasm metastasis diagnosis and total testosterone of less than fifty ng dl except for patients with prior orchiectomy where testosterone does not need to be measured"
__label__0,study interventions are Fluorouracil . esophageal cancer diagnosis and not specified chemotherapy
__label__1,study interventions are Albumin-Bound Paclitaxel . thyroid gland undifferentiated anaplastic carcinoma diagnosis and pregnancy or women of childbearing potential and men who are sexually active and not willing able to use medically acceptable forms of contraception
__label__1,study interventions are Midazolam . solid tumor diagnosis and the participant has received another investigational agent within twenty-eight days of the first dose of study drug
__label__1,study interventions are Pemetrexed . stage iiia non small cell lung cancer diagnosis and bone lesions
__label__0,"study interventions are Antibodies, Monoclonal . advanced cancers diagnosis and there is no limit on the number of prior treatment regimens"
__label__0,study interventions are BB 1101 . multiple myeloma diagnosis and must agree to use condom during sexual contact with fcbp throughout study drug therapy during any dose interruption and for one week after discontinuation of study therapy
__label__1,study interventions are Fludarabine phosphate . noncontiguous stage ii grade one follicular lymphoma diagnosis and life expectancy severely limited by diseases other than malignancy
__label__0,study interventions are Cisplatin . ovarian cancer diagnosis and prior concurrent therapy
__label__0,study interventions are iTreg . multiple myeloma diagnosis and renal
__label__0,study interventions are Fludarabine phosphate . splenic marginal zone lymphoma diagnosis and karnofsky score greater_than equal_than seventy adults or lansky score greater_than equal_than fifty pediatrics
__label__0,study interventions are Antibodies . stage ivb colorectal cancer diagnosis and hemoglobin must be greater_than equal_than ten dl
__label__0,study interventions are Veliparib . head and neck squamous cell carcinoma diagnosis and patients with history of allergic reactions attributed to compounds of similar chemical or biologic composition to abt eight hundred and eighty-eight or other agents used in study including cremophor carboplatin paclitaxel cisplatin five fluorouracil hydroxyurea or any compounds of similar chemical or biologic composition are not eligible
__label__0,study interventions are Isophosphamide mustard . seminoma diagnosis and minimum of three weeks after the last day of the start of the previous chemotherapy regimen before the first day of chemotherapy on study protocol
__label__0,study interventions are Sirolimus . adult gliosarcoma diagnosis and no prior erlotinib hydrochloride aeeseven hundred and eighty-eight or other epidermal growth factor receptor targeting agents phase ii for patients receiving sorafenib and erlotinib hydrochloride
__label__1,study interventions are Immunoglobulins . stage iv adenoid cystic carcinoma of the oral cavity diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to cetuximab
__label__1,study interventions are Paclitaxel . recurrent adult diffuse large cell lymphoma diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to at one hundred and one or other agents used in study
__label__1,study interventions are Oxaliplatin . colorectal cancer diagnosis and non measurable lesion as only disease evidence
__label__1,study interventions are Oxaliplatin . metastatic colorectal cancer diagnosis and bowel obstruction
__label__1,study interventions are N-monoacetylcystine . stage iii squamous cell carcinoma of the nasopharynx diagnosis and any of the following
__label__1,study interventions are AZD9150 . ovarian cancer diagnosis and hiv positive patients or with history of hepatitis or with current chronic or active hepatitis
__label__0,study interventions are Paclitaxel . advanced non small cell lung cancer diagnosis and eastern cooperative oncology group ecog performance status zero two
__label__1,study interventions are Doxorubicin . mantle cell lymphoma diagnosis and women who are pregnant or lactating
__label__1,study interventions are Capecitabine . other prior malignancies except treated in situ carcinoma of cervix or tumours of skin without indication to melanoma or ten years tumourfree
__label__1,study interventions are Cytarabine . lymphoma diagnosis and presence of human anti zevalin antibody haza
__label__0,study interventions are Histone Deacetylase Inhibitors . small cell lung carcinoma diagnosis and adequate haematological function
__label__1,"study interventions are Antibodies, Monoclonal . multiple myeloma diagnosis and participant has any concurrent medical or psychiatric condition or disease example active systemic infection uncontrolled diabetes acute diffuse infiltrative pulmonary disease that is likely to interfere with the study procedures or results or that in the opinion of the investigator would constitute hazard for participating in this study"
__label__1,study interventions are Bortezomib . recurrent mantle cell lymphoma diagnosis and significant concurrent uncontrolled medical condition including but not limited to renal hepatic gastrointestinal endocrine pulmonary neurological cerebral or psychiatric disease which in the opinion of the investigator may represent risk for the patient
__label__0,study interventions are Cyclophosphamide . non hodgkins lymphoma diagnosis and any patient unable to tolerate consolidation and or maintenance chemotherapy as would have been deemed appropriate by the treating physician
__label__0,study interventions are Citric Acid . solid tumor diagnosis and the consent form must be signed prior to the conduct of any trial specific procedure
__label__0,study interventions are laboratory biomarker analysis . recurrent childhood brain tumor diagnosis and patients will be eligible for this study even if they are receiving anti convulsants
__label__0,study interventions are laboratory biomarker analysis . stage ib non small cell lung cancer diagnosis and can be receiving any type of treatment chemotherapy radiation therapy both or neither are eligible
__label__1,study interventions are Niacinamide . adult primary hepatocellular carcinoma diagnosis and uncontrolled hypertension defined as systolic blood pressure greater_than one hundred and forty mmhg or diastolic pressure greater_than ninety mmhg despite optimal medical management
__label__0,study interventions are Paclitaxel . ovarian embryonal carcinoma diagnosis and absolute neutrophil count greater_than seven hundred and fifty mm³
__label__1,study interventions are Melphalan . recurrent childhood small noncleaved cell lymphoma diagnosis and patients who in the opinion of the treating physician are unlikely to comply with the restrictions of allogeneic stem cell transplantation based on formal psychosocial screening
__label__1,study interventions are Albumin-Bound Paclitaxel . epithelial ovarian cancer diagnosis and prior history of hypertensive crisis or hypertensive encephalopathy
__label__1,study interventions are Aminolevulinic Acid . non melanoma skin cancer diagnosis and use of the following medications
__label__1,study interventions are Androgens . metastatic breast cancer diagnosis and female patients who are both lactating and breastfeeding or have positive serum pregnancy test during the screening period
__label__0,study interventions are Cytarabine . recurrent childhood anaplastic large cell lymphoma diagnosis and fertile patients must use effective contraception during and for greater_than three months after completion of study treatment
__label__1,study interventions are Epacadostat . stage iii fallopian tube cancer diagnosis and patients who had within the past six months cardiovascular accident cva or at risk for arterial thrombus such as severe peripheral vascular disease pvd and carotid artery disease cad
__label__1,study interventions are Etoposide phosphate . recurrent burkitt lymphoma diagnosis and dementia of any kind
__label__1,study interventions are Vincristine . lymphoma large cell diffuse diagnosis and serious medical or psychiatric illness likely to affect participation or that may compromise the ability to give informed consent
__label__1,study interventions are Gemcitabine . uterine corpus leiomyosarcoma diagnosis and patients who have had prior therapy with gemcitabine or docetaxel
__label__1,study interventions are Vinblastine . precancerous condition diagnosis and patients must have had their last dose of radiation therapy at least six weeks prior to study entry and their last dose of chemotherapy at least four weeks prior to study entry
__label__1,study interventions are Capecitabine . breast cancer diagnosis and radiation therapy less_than fourteen days prior to enrollment
__label__1,study interventions are Vidarabine . recurrent childhood lymphoblastic lymphoma diagnosis and donor
__label__1,study interventions are Sunitinib . stage iiic breast cancer diagnosis and have clinical diagnosis of congestive heart failure or angina pectoris or any of the following within the six months prior to study drug administration
__label__1,study interventions are Immunosuppressive Agents . stage iii adult immunoblastic large cell lymphoma diagnosis and presence of active central nervous system cns disease history of adequately treated cns disease is acceptable
__label__0,study interventions are Cyclosporine . patients with clinical or laboratory evidence of liver disease would be evaluated for the cause of liver disease its clinical severity in terms of liver function and the degree of portal hypertension patients will be excluded if they are found to have fulminant liver failure cirrhosis of the liver with evidence of portal hypertension alcoholic hepatitis esophageal varices history of bleeding esophageal varices hepatic encephalopathy uncorrectable hepatic synthetic dysfunction evinced by prolongation of the prothrombin time ascites related to portal hypertension bridging fibrosis bacterial or fungal liver abscess biliary obstruction chronic viral hepatitis with total serum bilirubin greater_than three mg dl and symptomatic biliary disease
__label__1,study interventions are Pemetrexed . confirmed presence of cns tumor involvement
__label__0,study interventions are pharmacological study . recurrent colon cancer diagnosis and more than four weeks since prior radiotherapy
__label__1,study interventions are Vemurafenib . melanoma diagnosis and ocular
__label__1,study interventions are Sorafenib . bladder cancer diagnosis and serious non healing wound ulcer or bone fracture
__label__1,study interventions are Sirolimus . stage iv childhood lymphoblastic lymphoma diagnosis and active bacterial or fungal infections unresponsive to medical therapy
__label__1,study interventions are radiotherapy followed by chemotherapy . extranodal natural_killer cell lymphoma nasal type diagnosis and abnormal coagulation function
__label__0,study interventions are Carboplatin . ovarian cancer diagnosis and see disease characteristics
__label__0,study interventions are Fludarabine . lymphoma diagnosis and lvef at least forty by muga or echocardiogram
__label__0,study interventions are Albumin-Bound Paclitaxel . fallopian tube cancer diagnosis and participants must have normal organ and marrow function as defined below
__label__1,study interventions are Dexamethasone acetate . multiple myeloma diagnosis and any other cardiac condition that in the opinion of the treatment physician would make this protocol unreasonably_hazardous for the patient
__label__1,study interventions are Etoposide . neuroblastoma diagnosis and evidence of any significant clinical disorder or laboratory finding that makes it undesirable for the subject to participate in the trial
__label__0,study interventions are Albumin-Bound Paclitaxel . ovarian cancer diagnosis and poorly controlled seizures
__label__1,study interventions are Paclitaxel . pancreatic adenocarcinoma diagnosis and pre existing grade two or greater neuropathy
__label__1,study interventions are Darbepoetin alfa . cancer diagnosis and active bleeding
__label__1,"study interventions are Degarelix . prostate cancer diagnosis and hypersensitivity towards any component of fetwo hundred thousand, four hundred and eighty-six"
__label__0,study interventions are Vidarabine . stage iii marginal zone lymphoma diagnosis and no more than three prior treatments for disease not including steroids alone
__label__1,study interventions are Dexamethasone 21-phosphate . refractory plasma cell myeloma diagnosis and telithromycin
__label__1,study interventions are Lenalidomide . follicular lymphoma diagnosis and pregnant or lactating females
__label__0,study interventions are Rituximab . extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and understand and voluntarily sign an informed consent form
__label__1,study interventions are Immunoglobulins . cancer diagnosis and patients known to be serologically positive for hepatitis hepatitis or human immunodeficiency virus hiv
__label__1,study interventions are Lenograstim . diffuse large cell lymphoma diagnosis and hbv positivity
__label__0,study interventions are Methylprednisolone acetate . recurrent cutaneous cell non hodgkin lymphoma diagnosis and acute non lymphocytic leukemia fab types mone mseven in first or second remission or early first or second bone or marrow relapse greater_than 3one marrow blasts and no circulating peripheral blasts
__label__0,study interventions are Bevacizumab . undifferentiated ovarian carcinoma diagnosis and serum glutamic oxaloacetic transaminase sgot aspartate aminotransferase ast less than or equal to three uln ctep ctcae version doc grade one
__label__1,study interventions are Lenalidomide . plasma cell myeloma diagnosis and participation in other clinical trials including those with other investigational agents not included in this trial within thirty days of the start of this trial and throughout the duration of this trial
__label__1,study interventions are Prostate and pelvis IMRT . prostate cancer diagnosis and life expectancy less_than five years
__label__1,study interventions are Mycophenolate mofetil . childhood nasal type extranodal nk cell lymphoma diagnosis and forty kidneys
__label__0,study interventions are Albumin-Bound Paclitaxel . lung cancer diagnosis and prior concurrent therapy
__label__0,study interventions are BB 1101 . myeloma diagnosis and lambda light chain ratio
__label__0,study interventions are Dexamethasone acetate . extramedullary plasmacytoma diagnosis and measurable disease such as protein and objective and measurable of emp
__label__1,study interventions are Immunoglobulins . recurrent primary peritoneal carcinoma diagnosis and history of severe allergic anaphylactic or other hypersensitivity reactions to chimeric or humanized antibodies or fusion proteins
__label__0,study interventions are Fosfestrol . prostate cancer diagnosis and no previous thromboembolic disease including stroke venous or arterial thrombosis and myocardial infarction with ongoing angina pectoris
__label__0,study interventions are Antibodies . lymphoma non hodgkin diagnosis and patients must have previously responded with duration of response of at least three months to iodine onethreeone anti bone antibody therapy
__label__0,"study interventions are Hypofractionated, image-guided, intensity-modulated external beam radiation . adenocarcinoma diagnosis and gleason score equal_than seven or"
__label__1,study interventions are Leuprolide . prostatic adenocarcinoma diagnosis and active infection within one week of registration
__label__1,study interventions are Liposomal doxorubicin . metastatic undifferentiated pleomorphic sarcoma diagnosis and at least three half lives since last dose prior to first dose of ribociclib exception
__label__0,study interventions are Fludarabine phosphate . recurrent lymphoplasmacytic lymphoma diagnosis and not requiring supplemental oxygen or mechanical ventilation oxygen saturation ninety or higher on room air
__label__0,study interventions are Questionniares . childhood cancer diagnosis and currently fifteen years or older
__label__1,study interventions are Carboplatin . recurrent colon cancer diagnosis and pregnant or nursing women
__label__0,study interventions are HPPH . tumors can be primary or recurrent stage zero or nzerom any
__label__0,study interventions are Temozolomide . brain and central nervous system tumors diagnosis and karnofsky performance status seventy one hundred
__label__0,study interventions are computed tomography . unspecified adult solid tumor protocol specific diagnosis and less than six lesions
__label__0,study interventions are Fludarabine . skin cancer diagnosis and oxygen saturation of greater than or equal to ninety on room air
__label__1,study interventions are Fluorouracil . metastatic colorectal cancer diagnosis and pregnant of breast feeding subjects
__label__1,study interventions are Gemcitabine . pancreatic adenocarcinoma diagnosis and subjects with plastic biliary stents will be excluded metal biliary stents are allowed and will not be excluded
__label__0,study interventions are Bevacizumab . liver neoplasms diagnosis and eighteen eighty years
__label__0,study interventions are Sirolimus . ovarian serous surface papillary adenocarcinoma diagnosis and hcc confirmed by biopsy or diagnosed by clinical and radiologic criteria all of the following criteria must be met or biopsy is required
